@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
143,'2021/11/03 19:39:12:959',4,-1.524984,1,0.96,0.96
144,'2021/11/03 19:39:13:064',4,-0.247599,1,0.96,0.96
145,'2021/11/03 19:39:13:169',4,0.456848,1,0.96,0.96
146,'2021/11/03 19:39:13:274',4,-1.342122,1,0.96,0.96
147,'2021/11/03 19:39:16:394',5,-1.206055,1,0.96,0.96
148,'2021/11/03 19:39:16:499',5,-0.822388,1,0.96,0.96
149,'2021/11/03 19:39:16:604',5,0.289449,1,0.96,0.96
150,'2021/11/03 19:39:16:708',5,-1.060303,1,0.96,0.96
151,'2021/11/03 19:39:19:304',6,-0.425334,1,0.96,0.96
152,'2021/11/03 19:39:19:409',6,0.272868,1,0.96,0.96
153,'2021/11/03 19:39:19:514',6,0.144796,1,0.96,0.96
154,'2021/11/03 19:39:19:619',6,-1.972107,1,0.96,0.96
155,'2021/11/03 19:39:19:723',6,-0.916484,1,0.96,0.96
156,'2021/11/03 19:39:22:214',7,-0.486918,1,0.96,0.96
157,'2021/11/03 19:39:22:319',7,-1.281189,1,0.96,0.96
158,'2021/11/03 19:39:22:424',7,0.272868,1,0.96,0.96
159,'2021/11/03 19:39:22:529',7,-0.266235,1,0.96,0.96
160,'2021/11/03 19:39:22:634',7,-1.060303,1,0.96,0.96
161,'2021/11/03 19:39:23:983',8,-0.411133,1,0.96,0.96
162,'2021/11/03 19:39:24:089',8,-1.060303,1,0.96,0.96
163,'2021/11/03 19:39:24:194',8,0.465515,1,0.96,0.96
164,'2021/11/03 19:39:24:299',8,-0.599284,1,0.96,0.96
165,'2021/11/03 19:39:24:404',8,-2.157878,1,0.96,0.96
166,'2021/11/03 19:39:24:509',8,-1.601196,1,0.96,0.96
167,'2021/11/03 19:39:24:614',8,-0.432597,1,0.96,0.96
168,'2021/11/03 19:39:24:719',8,-0.832906,1,0.96,0.96
169,'2021/11/03 19:39:24:824',8,-1.135457,1,0.96,0.96
170,'2021/11/03 19:40:09:538',9,-0.142171,1,0,0
171,'2021/11/03 19:40:09:643',9,-0.138997,1,0,0
172,'2021/11/03 19:40:09:748',9,-0.139709,1,0,0
173,'2021/11/03 19:40:09:854',9,-0.139547,1,0,0
174,'2021/11/03 19:40:09:958',9,-0.138184,1,0,0
175,'2021/11/03 19:40:10:064',9,-0.141459,1,0,0
176,'2021/11/03 19:40:10:168',9,-0.139445,1,0,0
177,'2021/11/03 19:40:10:273',9,-0.139058,1,0,0
178,'2021/11/03 19:40:10:363',9,-0.140828,1,0,0
179,'2021/11/03 19:40:10:469',9,-0.138468,1,0,0
180,'2021/11/03 19:40:10:573',9,-0.140381,1,0,0
181,'2021/11/03 19:40:10:678',9,-0.140747,1,0,0
182,'2021/11/03 19:40:10:784',9,-0.138896,1,0,0
183,'2021/11/03 19:40:10:888',9,-0.140828,1,0,0
184,'2021/11/03 19:40:10:993',9,-0.138285,1,0,0
185,'2021/11/03 19:40:11:098',9,-0.140299,1,0,0
186,'2021/11/03 19:40:11:204',9,-0.140971,1,0,0
187,'2021/11/03 19:40:11:309',9,-0.138224,1,0,0
188,'2021/11/03 19:40:11:414',9,-0.139852,1,0,0
189,'2021/11/03 19:40:11:518',9,-0.140218,1,0,0
