@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
114,'2021/11/08 20:47:13:824',3,1.206604,1.213501,1.214539,0,0,1,0,0
115,'2021/11/08 20:47:14:124',3,1.220398,1.224976,1.229187,0,0,1,0,0
116,'2021/11/08 20:47:14:439',3,1.218872,1.213257,1.208618,0,0,1,0,0
117,'2021/11/08 20:47:14:754',3,1.218506,1.217468,1.229492,0,0,1,0,0
118,'2021/11/08 20:47:15:069',3,1.223145,1.219727,1.233948,0,0,1,0,0
119,'2021/11/08 20:47:15:384',3,1.228027,1.218445,1.229919,0,0,1,0,0
120,'2021/11/08 20:47:15:684',3,1.229797,1.233765,1.20575,0,0,1,0,0
121,'2021/11/08 20:47:15:999',3,1.210815,1.213379,1.226624,0,0,1,0,0
122,'2021/11/08 20:47:16:314',3,1.218201,1.227905,1.23053,0,0,1,0,0
123,'2021/11/08 20:47:16:629',3,1.221619,1.224426,1.221619,0,0,1,0,0
124,'2021/11/08 20:47:16:943',3,1.209961,1.215454,1.222534,0,0,1,0,0
125,'2021/11/08 20:47:17:244',3,1.219971,1.227356,1.21875,0,0,1,0,0
126,'2021/11/08 20:47:17:559',3,1.214355,1.214111,1.213623,0,0,1,0,0
127,'2021/11/08 20:47:17:873',3,1.219727,1.222168,1.21405,0,0,1,0,0
128,'2021/11/08 20:47:18:188',3,1.22406,1.213684,1.220032,0,0,1,0,0
129,'2021/11/08 20:47:18:504',3,1.231384,1.219971,1.20282,0,0,1,0,0
130,'2021/11/08 20:47:18:804',3,1.220398,1.225464,1.229309,0,0,1,0,0
131,'2021/11/08 20:47:19:118',3,1.218384,1.224243,1.231018,0,0,1,0,0
132,'2021/11/08 20:47:19:433',3,1.229736,1.221252,1.232483,0,0,1,0,0
133,'2021/11/08 20:47:19:748',3,1.225769,1.212158,1.230225,0,0,1,0,0
134,'2021/11/08 20:47:20:064',3,1.223389,1.220459,1.220032,0,0,1,0,0
135,'2021/11/08 20:47:20:364',3,1.216187,1.213318,1.224792,0,0,1,0,0
136,'2021/11/08 20:47:20:679',3,1.220337,1.233643,1.22998,0,0,1,0,0
137,'2021/11/08 20:47:20:993',3,1.233582,1.2453,1.222778,0,0,1,0,0
138,'2021/11/08 20:47:21:309',3,1.212463,1.2323,1.233582,0,0,1,0,0
139,'2021/11/08 20:47:21:624',3,1.233276,1.218567,1.223999,0,0,1,0,0
140,'2021/11/08 20:47:21:924',3,1.225586,1.217896,1.220093,0,0,1,0,0
141,'2021/11/08 20:47:22:239',3,1.217163,1.225769,1.216187,0,0,1,0,0
142,'2021/11/08 20:47:22:554',3,1.220642,1.22467,1.22467,0,0,1,0,0
143,'2021/11/08 20:47:22:869',3,1.225342,1.22052,1.228943,0,0,1,0,0
144,'2021/11/08 20:47:23:183',3,1.2276,1.215332,1.226257,0,0,1,0,0
